Value,Field Name
TL,initial
N/A,Text67
N/A,Text69
TL,Text71
N/A,Text73
N/A,Text75
N/A,Text77
TL,Text79
N/A,Text81
-,Text84
-,Text86
N/A,Text87
-,Text88
TL,Text91
CCW,Text92
JW,Text93
FAIL!!!,Text95
BAD!!!,Text96
NA,Text99
NA,Text101
NA,Text103
NA,Text105
NA,Text107
NA,Text109
JW,Text125
TL,Text127
~,Text128
TL,Text129
~,Text130
TL,Text131
TL,Text151
TL,Text153
TL,Text155
TL,Text157
-,Text172
-,Text174
TL,Text175
-,Nothing restarts on Mushroom pull \(need HMI Reset
TL,Text177
-,Text178
-,Text180
-,Text182
TL,Text183
-,Nothing restarts on Mushroom pull \(need HMI Reset \(1\
TL,Text185
-,Text186
N/A,Text189
N/A,Text191
TL,Text193
N/A,Text195
N/A,Text201
-,Text202
TL,Text205
CCW,Text206
JW,Text221
TL,Text223
TL,Text225
TL,Text237
TL,Text239
-,Text240
TL,Text243
TL,Text245
TL,Text247
TL,Text249
N/A,Text255
-,Text256
TL,Text259
CCW,Text260
JW,Text275
TL,Text277
~,Text278
TL,Text279
TL,Text281
TL,Text301
-,Text302
TL,Text303
-,Text304
JW,Text309
-,Text310
TL,Text311
-,Text312
TL,Text313
-,Text314
-,Value
N/A,Text319
-,Text320
N/A,Text321
-,Text322
-,Text324
N/A,Text325
-,Text326
TL,Text327
-,Text328
N/A,Text329
-,Text330
TL,Text331
-,Text332
JW,Text333
-,Text334
N/A,Text335
-,Text336
JW,Text337
-,Text338
TL,Text339
-,Text340
-,Text342
-,Text344
-,Text346
TL,Text347
-,Text348
TL,Text349
-,Text350
N/A,Text351
-,Text352
TL,Text353
-,Text354
JW,Text355
-,Text356
TL,Text359
-,Text360
-,Text362
-,Text364
N/A,Text365
-,Text366
N/A,Text369
-,Text370
TL,Text371
-,Text372
-,Text373
TL,Text375
TL,Text377
-,Text378
-,Text380
-,Text382
-,Text384
SITE,Text385
DATE,Text386
SITE,Text387
-,Text388
